FIPS,Area Name-Legal/Statistical Area Description,Qualifying Name,State/U.S.-Abbreviation (USPS),Region,Division,State (FIPS),Place (FIPS),FIPS Place Class Code,Place Size Code,Area (Land),Area (Water),Population Count (100%),Housing Unit Count (100%),Internal Point (Latitude),Internal Point (Longitude),Total Population,Total Population,Urban,Urban: Inside urbanized areas,Urban: Inside urban clusters,Rural,% Urban,% Urban: Inside urbanized areas,% Urban: Inside urban clusters,% Rural,Total Population,Population Density (per sq. mile),Area Total,Area (Land),Area (Water),Total Population,Male,Female,% Male,% Female,Median Age,Median Age: Male Population,Median Age: Female Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some other race Alone,% White Alone,% Black or African American Alone,% American Indian and Alaska Native Alone,% Asian Alone,% Native Hawaiian and Other Pacific Islander Alone,% Some other race Alone,Employed Civilian Population 16 Years And Over,Per capita income In 1999 Dollars,Employed civilian population 16 years and over
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_PLACE,Geo_PLACECC,Geo_PLACESC,Geo_AREALAND,Geo_AREAWATR,Geo_POP100,Geo_HU100,Geo_INTPTLAT,Geo_INTPTLON,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T002_005,PCT_SE_T002_002,PCT_SE_T002_003,PCT_SE_T002_004,PCT_SE_T002_005,SE_T003_002,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_T005_001,SE_T005_002,SE_T005_003,PCT_SE_T005_002,PCT_SE_T005_003,SE_T013_001,SE_T013_002,SE_T013_003,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,PCT_SE_T014_002,PCT_SE_T014_003,PCT_SE_T014_004,PCT_SE_T014_005,PCT_SE_T014_006,PCT_SE_T014_007,SE_T085_001,SE_T145_001,SE_T209_001
100124,Abbeville city,"Abbeville city, Alabama",AL,3,6,1,124,C1,12,40301945,120383,2987,1353,31566367,-85251300,2987,2987,0,0,0,2987,0,0,0,100,2987,191.9583,15.60715,15.56067,0.04648014,2987,1351,1636,45.23,54.77,42.2,39.1,45.3,1692,1193,0,2,0,85,56.65,39.94,0,0.07,0,2.85,1192,17215,1192
100460,Adamsville city,"Adamsville city, Alabama",AL,3,6,1,460,C1,12,50779330,14126,4965,2042,33590411,-86949166,4965,4965,4604,4604,0,361,92.73,92.73,0,7.27,4965,253.2387,19.61146,19.60601,0.005454079,4965,2364,2601,47.61,52.39,39.2,37.9,40.5,3763,1133,20,7,1,8,75.79,22.82,0.4,0.14,0.02,0.16,2352,18496,2352
100484,Addison town,"Addison town, Alabama",AL,3,6,1,484,C1,8,9101325,0,723,339,34200042,-87177851,723,723,0,0,0,723,0,0,0,100,723,205.746,3.514041,3.514041,0,723,349,374,48.27,51.73,38.1,35.6,40,719,1,1,1,0,0,99.45,0.14,0.14,0.14,0,0,328,12973,328
100676,Akron town,"Akron town, Alabama",AL,3,6,1,676,C1,8,1436797,0,521,239,32876425,-87740978,521,521,0,0,0,521,0,0,0,100,521,939.161,0.5547504,0.5547504,0,521,234,287,44.91,55.09,32.5,29,34.8,93,422,0,0,0,0,17.85,81,0,0,0,0,166,10929,166
100820,Alabaster city,"Alabaster city, Alabama",AL,3,6,1,820,C1,15,53023800,141711,22619,8594,33231162,-86823829,22619,22619,21214,21214,0,1405,93.79,93.79,0,6.21,22619,1104.842,20.52732,20.4726,0.05471493,22619,11004,11615,48.65,51.35,33.3,32.9,33.8,19839,2250,71,144,4,156,87.71,9.95,0.31,0.64,0.02,0.69,12224,22466,12224
100988,Albertville city,"Albertville city, Alabama",AL,3,6,1,988,C1,14,67212867,258738,17247,7090,34265362,-86211261,17247,17247,14763,0,14763,2484,85.6,0,85.6,14.4,17247,664.5978,26.05093,25.95103,0.09989931,17247,8316,8931,48.22,51.78,34,31.6,36.4,14859,353,54,45,17,1687,86.15,2.05,0.31,0.26,0.1,9.78,7688,16336,7688
101132,Alexander City city,"Alexander City city, Alabama",AL,3,6,1,1132,C1,14,100534344,433413,15008,6855,32933157,-85936008,15008,15008,8507,0,8507,6501,56.68,0,56.68,43.32,15008,386.6394,38.98387,38.81653,0.1673417,15008,6877,8131,45.82,54.18,39.3,36.7,41.4,10589,4258,19,42,3,23,70.56,28.37,0.13,0.28,0.02,0.15,6003,17305,6003
284510,Whittier city,"Whittier city, Alaska",AK,4,9,2,84510,C1,4,32446933,18551624,182,213,60774174,-148677649,182,182,0,0,0,182,0,0,0,100,182,14.52765,19.69065,12.52783,7.162822,182,96,86,52.75,47.25,39.3,41,36.5,144,0,10,13,0,0,79.12,0,5.49,7.14,0,0,90,25700,90
285280,Willow CDP,"Willow CDP, Alaska",AK,4,9,2,85280,U1,10,1773668818,20829537,1658,1530,61769345,-149991065,1658,1658,0,0,0,1658,0,0,0,100,1658,2.421083,692.8597,684.8174,8.042329,1658,884,774,53.32,46.68,40.1,41.3,38.8,1532,0,51,4,0,7,92.4,0,3.08,0.24,0,0.42,625,22323,625
